sample_id,prediction_score,true_label,temperature,top_p,model_version
task-001,0.407,0,0.9,0.85,llm-v1.1
task-002,0.604,1,1.0,0.92,llm-v1.1
task-003,0.475,1,1.0,0.98,llm-v1.1
task-004,0.272,0,0.9,0.92,llm-v1.1
task-005,0.428,0,0.9,0.93,llm-v1.1
task-006,0.629,1,0.9,0.97,llm-v1.1
task-007,0.513,1,0.7,0.86,llm-v1.1
task-008,0.403,0,1.0,0.86,llm-v1.1
task-009,0.241,0,0.6,0.87,llm-v1.1
task-010,0.221,0,0.8,0.9,llm-v1.1
task-011,0.439,1,0.6,0.96,llm-v1.1
task-012,0.179,1,1.1,0.97,llm-v1.1
task-013,0.309,1,1.1,0.93,llm-v1.1
task-014,0.388,1,0.7,0.9,llm-v1.1
task-015,0.5,1,0.4,0.94,llm-v1.1
task-016,0.192,1,1.0,0.87,llm-v1.1
task-017,0.312,0,0.7,0.94,llm-v1.1
task-018,0.232,0,0.3,0.96,llm-v1.1
task-019,0.022,0,0.4,0.98,llm-v1.1
task-020,0.027,0,0.9,0.91,llm-v1.1
